Year,China_PerCapMTon,USA_PerCapMTon,China_TotKTon,USA_TotKTon
1960,1.170381372,15.99977916,780726.30,2890696.10
1961,0.836046901,15.68125552,552066.85,2880505.51
1962,0.661428164,16.0139375,440359.03,2987207.87
1963,0.640001899,16.48276215,436695.70,3119230.87
1964,0.625646054,16.96811858,436923.05,3255995.31
1965,0.665524211,17.45172525,475972.93,3390922.57
1966,0.710891382,18.12107301,522789.52,3561878.11
1967,0.574162147,18.59831788,433234.05,3695708.94
1968,0.605451997,19.08938916,468928.63,3831354.94
1969,0.725149509,19.85794566,577237.14,4024748.85
1970,0.942934535,21.11125227,771617.47,4328904.50
1971,1.042239697,20.98020348,876633.02,4356770.03
1972,1.080676637,21.74864198,931575.68,4564952.96
1973,1.098195691,22.51058213,968542.71,4770194.95
1974,1.097367111,21.50293038,988014.48,4598487.67
1975,1.250124095,20.40222407,1145607.47,4406329.54
1976,1.285283136,21.15761537,1196193.74,4613100.67
1977,1.388842897,21.53248401,1310310.78,4742292.75
1978,1.52920111,21.97300469,1462168.58,4890861.25
1979,1.542675099,21.78043698,1494859.88,4901796.24
1980,1.495250749,20.78648774,1467192.37,4723209.68
1981,1.460431817,19.76676417,1451501.28,4535800.31
1982,1.566739684,18.59049523,1580260.65,4306748.49
1983,1.629055908,18.57154371,1667029.20,4341878.35
1984,1.75044806,18.97675027,1814908.31,4475192.13
1985,1.871054791,18.88231274,1966553.43,4492555.38
1986,1.939434257,18.72072272,2068969.07,4495463.31
1987,2.038410689,19.35033442,2209708.53,4688373.18
1988,2.150905225,20.01041341,2369501.72,4892526.07
1989,2.153077911,20.07576978,2408540.61,4955081.42
1990,2.167703077,19.32336817,2460744.02,4823557.13
1991,2.245901276,19.06223666,2584538.27,4822383.69
1992,2.31420729,19.14555576,2695982.07,4911103.09
1993,2.442800659,19.36346258,2878694.01,5032931.83
1994,2.565993892,19.37655644,3058241.33,5098475.79
1995,2.755754966,19.29565986,3320285.15,5138009.72
1996,2.844309582,19.52789051,3463089.13,5260696.54
1997,2.820567891,19.71427574,3469510.05,5375235.28
1998,2.67674598,19.6151546,3324344.52,5410918.86
1999,2.648649247,19.74781478,3318055.61,5510430.24
2000,2.696862433,20.20761476,3405179.87,5701829.30
2001,2.742120813,19.65619321,3487566.36,5601404.84
2002,2.885225041,19.63919577,3694242.14,5648727.47
2003,3.512245428,19.57623905,4525177.01,5679222.25
2004,4.080138906,19.68358135,5288166.03,5763456.90
2005,4.441150695,19.61027504,5790016.98,5795161.79
2006,4.892727098,19.11613882,6414463.08,5703871.82
2007,5.153564017,19.23746045,6791804.71,5794923.43
2008,5.311151855,18.48923375,7035443.86,5622464.42
2009,5.778143184,17.1923791,7692210.90,5274132.42
2010,6.172488876,17.48479218,8256969.23,5408869.00
2011,6.710301991,17.02021634,9019518.22,5305569.61
